ID    Price      Category        Description                                                                                         
1     9.99       beauty          The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.
2     19.99      beauty          The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.
3     14.99      beauty          The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.
4     12.99      beauty          The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.
5     8.99       beauty          The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.
6     49.99      fragrances      CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.
7     129.99     fragrances      Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.
8     89.99      fragrances      J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.
9     69.99      fragrances      Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.
10    79.99      fragrances      Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.
11    1899.99    furniture       The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.
12    2499.99    furniture       The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.
13    299.99     furniture       The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.
14    499.99     furniture       The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.
15    799.99     furniture       The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.
16    1.99       groceries       Fresh and crisp apples, perfect for snacking or incorporating into various recipes.                 
17    12.99      groceries       High-quality beef steak, great for grilling or cooking to your preferred level of doneness.         
18    8.99       groceries       Nutritious cat food formulated to meet the dietary needs of your feline friend.                     
19    9.99       groceries       Fresh and tender chicken meat, suitable for various culinary preparations.                          
20    4.99       groceries       Versatile cooking oil suitable for frying, sautéing, and various culinary applications.            
21    1.49       groceries       Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.                   
22    10.99      groceries       Specially formulated dog food designed to provide essential nutrients for your canine companion.    
23    2.99       groceries       Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.                               
24    14.99      groceries       Quality fish steak, suitable for grilling, baking, or pan-searing.                                  
25    1.29       groceries       Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.            
26    0.99       groceries       Spicy green chili pepper, ideal for adding heat to your favorite recipes.                           
27    6.99       groceries       Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.
28    5.49       groceries       Creamy and delicious ice cream, available in various flavors for a delightful treat.                
29    3.99       groceries       Refreshing fruit juice, packed with vitamins and great for staying hydrated.                        
30    2.49       groceries       Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.                 
